"","Area","Boro","lon","lat"
"1","Alley Park","Queens",-73.7433727,40.7516752
"2","Astoria","Queens",-73.9234619,40.7643574
"3","Auburndale","Queens",-73.7860276,40.754115
"4","Bath Beach","Brooklyn",-74.004258,40.6045267
"5","Battery Park City","Manhattan",-74.0158441,40.7115786
"6","Bay Ridge","Brooklyn",-74.0329499,40.6261638
"7","Bayside","Queens",-73.7654367,40.7585569
"8","Bedford-Stuyvesant","Brooklyn",-73.9417735,40.6872176
"9","Bellerose","Queens",-73.7183639,40.7320207
"10","Bensonhurst","Brooklyn",-73.9976946,40.6112691
"11","Bergen Beach","Brooklyn",-73.9068033,40.6203822
"12","Boerum Hill","Brooklyn",-73.9844722,40.6848689
"13","Borough Park","Brooklyn",-73.98888,40.6323
"14","Bowne Park","Queens",-73.8072,40.77048
"15","Briarwood","Queens",-73.8154394,40.7089491
"16","Brighton Beach","Brooklyn",-73.9596565,40.5780706
"17","Brooklyn Heights","Brooklyn",-73.9932872,40.6960105
"18","Brookville","Queens",-73.7521986,40.6590786
"19","Brownsville","Brooklyn",-73.9095279,40.66308
"20","Bushwick","Brooklyn",-73.9212858,40.6944282
"21","Cambria Heights","Queens",-73.7330753,40.692158
"22","Canarsie","Brooklyn",-73.9060579,40.6402325
"23","Carroll Gardens","Brooklyn",-73.9991637,40.6795331
"24","Central Harlem","Manhattan",-73.9464769,40.8115504
"25","Central Park South","Manhattan",-73.97703,40.76607
"26","Chelsea","Manhattan",-74.0013737,40.7465004
"27","Chinatown","Manhattan",-73.9970307,40.7157509
"28","Civic Center","Manhattan",-74.0028364,40.7140519
"29","Clearview","Queens",-73.7977928,40.7804859
"30","Clinton Hill","Brooklyn",-73.9639021,40.6893665
"31","Cobble Hill","Brooklyn",-73.9962255,40.686536
"32","College Point","Queens",-73.8389657,40.786395
"33","Columbia St Waterfront District","Brooklyn",-74.0021019,40.6873691
"34","Coney Island","Brooklyn",-73.9707016,40.5755438
"35","Corona","Queens",-73.8642613,40.7449859
"36","Crown Heights","Brooklyn",-73.9447994,40.6681032
"37","DUMBO","Brooklyn",-73.9881451,40.7033164
"38","Ditmas Park","Brooklyn",-73.9624327,40.6409217
"39","Douglaston","Queens",-73.7470765,40.768713
"40","Downtown Brooklyn","Brooklyn",-73.984518,40.6960191
"41","Dyker Heights","Brooklyn",-74.009584,40.6214932
"42","East Elmhurst","Queens",-73.8713099,40.7737505
"43","East Flatbush","Brooklyn",-73.9301037,40.6437474
"44","East Harlem","Manhattan",-73.9389213,40.7957399
"45","East New York","Brooklyn",-73.8830701,40.6568312
"46","East Village","Manhattan",-73.9815337,40.7264773
"47","Elmhurst","Queens",-73.8801301,40.737975
"48","Financial District","Manhattan",-74.0112764,40.7074909
"49","Flatbush","Brooklyn",-73.9624327,40.6409217
"50","Flatiron","Manhattan",-73.9903489,40.740083
"51","Flatlands","Brooklyn",-73.9330429,40.6268432
"52","Floral Park","Queens",-73.7048532,40.7237133
"53","Flushing","Queens",-73.833079,40.7674987
"54","Forest Hills","Queens",-73.8448469,40.718106
"55","Fort Greene","Brooklyn",-73.9741874,40.6920638
"56","Fresh Meadows","Queens",-73.7801447,40.7335179
"57","Gerritsen Beach","Brooklyn",-73.9227554,40.5870033
"58","Glen Oaks","Queens",-73.7118223,40.7471504
"59","Glendale","Queens",-73.8804427,40.698994
"60","Gowanus","Brooklyn",-73.9903489,40.6733364
"61","Gramercy Park","Manhattan",-73.9844722,40.7367783
"62","Gravesend","Brooklyn",-73.977126,40.5910166
"63","Greenpoint","Brooklyn",-73.9418603,40.7245448
"64","Greenwich Village","Manhattan",-74.0027418,40.7335719
"65","Greenwood","Brooklyn",-73.9976946,40.6558236
"66","Hamilton Heights","Manhattan",-73.9496079,40.8259597
"67","Hillcrest","Queens",-73.7977928,40.7212372
"68","Hollis","Queens",-73.762495,40.7112203
"69","Howard Beach","Queens",-73.8429989,40.6571222
"70","Inwood","Manhattan",-73.9212019,40.8677145
"71","Jackson Heights","Queens",-73.8830701,40.7556818
"72","Jamaica","Queens",-73.7889689,40.702677
"73","Jamaica Estates","Queens",-73.7742616,40.7178539
"74","Jamaica Hills","Queens",-73.7992634,40.7128029
"75","Kensington","Brooklyn",-73.9741874,40.6376415
"76","Kew Gardens","Queens",-73.8272029,40.705695
"77","Kew Gardens Hills","Queens",-73.8106854,40.7384986
"78","Laurelton","Queens",-73.7448437,40.6740861
"79","Little Italy","Manhattan",-73.9973273,40.7191413
"80","Little Neck","Queens",-73.7330753,40.7612957
"81","Long Island City","Queens",-73.9485424,40.744679
"82","Lower East Side","Manhattan",-73.9842724,40.715033
"83","Manhattan Beach","Brooklyn",-73.9389213,40.578158
"84","Manhattanville","Manhattan",-73.9558333,40.8169443
"85","Marble Hill","Manhattan",-73.9102628,40.8761173
"86","Marine Park","Brooklyn",-73.9330429,40.6119911
"87","Maspeth","Queens",-73.9065883,40.7294018
"88","Middle Village","Queens",-73.87425,40.717372
"89","Midtown","Manhattan",-73.9840195,40.7549309
"90","Midtown East","Manhattan",-73.9668408,40.7540369
"91","Midtown South","Manhattan",-73.9840195,40.7549309
"92","Midtown West","Manhattan",-73.9918181,40.7637581
"93","Midwood","Brooklyn",-73.9653715,40.6190629
"94","Mill Basin","Brooklyn",-73.9109977,40.6100892
"95","Morningside Heights","Manhattan",-73.9624327,40.8089564
"96","New Hyde Park","Queens",-73.6879082,40.7351018
"97","Nolita","Manhattan",-73.9948607,40.7230413
"98","North Corona","Queens",-73.8624893,40.7502698
"99","Oakland Gardens","Queens",-73.758241,40.7408584
"100","Ocean Parkway","Brooklyn",-73.9683862,40.612878
"101","Old Mill Basin","Brooklyn",-73.973775,40.59057
"102","Ozone Park","Queens",-73.8507279,40.6794072
"103","Park Slope","Brooklyn",-73.9805817,40.6681038
"104","Pomonok","Queens",-73.8124037,40.7336439
"105","Prospect Heights","Brooklyn",-73.9668408,40.6774196
"106","Prospect Lefferts Gardens","Brooklyn",-73.9506774,40.6590448
"107","Prospect Park South","Brooklyn",-73.9661061,40.6457741
"108","Queens Village","Queens",-73.7419017,40.7156628
"109","Queensboro Hill","Queens",-73.833079,40.7674987
"110","Red Hook","Brooklyn",-74.0094471,40.6772802
"111","Rego Park","Queens",-73.8624893,40.7255722
"112","Richmond Hill","Queens",-73.8272029,40.6958108
"113","Ridgewood","Queens",-73.9018292,40.7043986
"114","Rockaway All","Queens",-73.857011,40.683495
"115","Roosevelt Island","Manhattan",-73.9509934,40.7605031
"116","Rosedale","Queens",-73.7389596,40.6584068
"117","Seagate","Brooklyn",-74.0079781,40.5768098
"118","Sheepshead Bay","Brooklyn",-73.9536163,40.5975847
"119","Soho","Manhattan",-74.0029883,40.723301
"120","South Jamaica","Queens",-73.7919103,40.6808594
"121","South Ozone Park","Queens",-73.8124984,40.6764003
"122","South Richmond Hill","Queens",-73.8257325,40.6918929
"123","Springfield Gardens","Queens",-73.7683784,40.6626441
"124","St. Albans","Queens",-73.7654367,40.6894086
"125","Stuyvesant Town/PCV","Manhattan",-73.9778494,40.7316903
"126","Sunnyside","Queens",-73.9196324,40.7432759
"127","Sunset Park","Brooklyn",-74.0123851,40.645532
"128","Tribeca","Manhattan",-74.0086323,40.7162692
"129","Upper East Side","Manhattan",-73.9565551,40.7735649
"130","Upper West Side","Manhattan",-73.9753676,40.7870106
"131","Utopia","Queens",-73.7919103,40.7352096
"132","Washington Heights","Manhattan",-73.9393554,40.8417082
"133","West Harlem","Manhattan",-73.9464769,40.8115504
"134","West Village","Manhattan",-74.0035709,40.735781
"135","Whitestone","Queens",-73.8095574,40.7920449
"136","Williamsburg","Brooklyn",-73.9570696,40.7081156
"137","Windsor Terrace","Brooklyn",-73.9756567,40.6539346
"138","Woodhaven","Queens",-73.8566087,40.6901366
"139","Woodside","Queens",-73.9036487,40.7512123
